NAICS Code,Kind of Business,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021(p),CY CUM,PY CUM
44812,Women's clothing stores,"2,765","2,586","3,061","3,039","3,175","3,305","3,308","3,243","3,271","3,241","3,304",,
4482,Shoe stores,"3,069","2,512","3,463","3,381","3,459","3,442","3,282","3,248","3,363","3,395","3,388",,
44831,Jewelry stores,"3,729","3,633",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
451,"Sporting goods, hobby, musical instrument, and book stores","8,579","8,030","9,931","9,749","9,583","9,449","9,256","8,910","9,277","9,356","9,553",,
452,General merchandise stores,"66,933","62,909","71,164","69,437","67,394","68,999","68,273","70,665","70,474","71,611","70,730",,
4521,Department stores,"10,698","9,900","11,309","11,238","11,456","12,121","12,184","12,452","12,129","12,430","11,747",,
4529,Other general merchandise stores,"56,235","53,009","59,855","58,199","55,938","56,878","56,089","58,213","58,345","59,181","58,983",,
45291,Warehouse clubs and superstores,"48,443","45,664","51,644","49,844","47,621","48,840","48,371","50,385","50,489","51,216","50,951",,
45299,All other gen. merchandise stores,"7,792","7,345","8,211","8,355","8,317","8,038","7,718","7,828","7,856","7,965","8,032",,
453,Miscellaneous stores retailers,"12,744","12,394","13,746","13,609","13,169","13,734","13,902","14,226","14,675","14,914","15,017",,
454,Nonstore retailers,"87,028","84,324","88,886","88,975","87,917","88,003","83,934","88,903","88,532","91,875","90,463",,
4541,Electronic shopping and mail order houses,"78,993","75,939","80,201","80,048","79,142","79,113","75,133","80,188","79,740","82,729","81,389",,
45431,Fuel dealers,"2,676","3,148","2,947","2,921","3,094","3,281","3,156","3,065","3,168","3,231","3,334",,
722,Food services and drinking places,"56,304","55,512","63,248","66,482","69,338","71,017","72,059","72,090","72,766","72,714","73,135",,
